# Supplemental data for: Revisiting population size vs. phoneme inventory size.
# Moran, Steven, Daniel McCloy and Richard Wright. 2012. Revisiting population size vs. phoneme inventory size. Language, 88(4), 877-893.
# http://phoible.org
# This dataset is non-commercial, research only, do not distribute, and cite us if appropriate.
ReportDate	Source	inventory_id	language_code_id	alternative_language_names	root	wals_genus	area	glyph
"2012-09-20 03:33:25"	UPSID	199	acv	ACHUMAWI	hoka	Palaihnihan	America	*R̪|*R
"2012-09-20 03:33:25"	UPSID	199	acv	ACHUMAWI	hoka	Palaihnihan	America	n̪|n
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	o
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	u
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	a
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	ŋ
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	e
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	ɛ
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	i
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	h
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	k
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	ɡ
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	j
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	m
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	l
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	n
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	p
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	b
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	s
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	z
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	t̠ʃ
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	d̠ʒ
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	t
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	d
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	w
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	ɔ
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	f
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	v
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	˧
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	ũ
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	ã
