# Supplemental data for: Revisiting population size vs. phoneme inventory size.
# Moran, Steven, Daniel McCloy and Richard Wright. 2012. Revisiting population size vs. phoneme inventory size. Language, 88(4), 877-893.
# http://phoible.org
# This dataset is non-commercial, research only, do not distribute, and cite us if appropriate.
lang	pho	con	son	obs	vow	mon	qua	ton	fam	genus	geoLat	geoLong	pop	logPop
ctu	ctu	26	20	5	15	6	6	6	0	maya	Mayan	17:40	-92:0	90000	4.95424250943933
cub	cub	23	11	1	10	12	12	6	0	tucn	Tucanoan	01:30	-70:30	6650	3.8228216453031
cuv	cuv	29	27	10	17	2	2	2	0	afas		10:40	14:00	5000	3.69897000433602
daa	daa	28	21	11	10	7	7	7	0	afas	East Chadic	12:10	18:20	45000	4.65321251377534
daf	daf	39	19	5	14	20	20	12	0	ncon	Eastern Mande	07:30	-07:45	8e+05	5.90308998699194
dag	dag	37	26	10	16	9	9	4	2	ncon	Gur	09:30	00:30	8e+05	5.90308998699194
daj	daj	30	24	9	15	6	6	6	0	nsah	Daju	12:15	25:0	80000	4.90308998699194
dal	dal	59	54	18	36	5	5	5	0	afas	Southern Cushitic	02:10	40:25	400	2.60205999132796
dap	dap	27	16	6	10	9	9	9	2	sitb	Tani	27:30	93:30	261000	5.41664050733828
dbj	dbj	23	17	7	10	6	6	6	0	anes	Northwest Malayo-Polynesian	05:15	118:50	5000	3.69897000433602
dbl	dbl	16	13	9	4	3	3	3	0	aust	Pama-Nyungan	-17:35	145:30	40	1.60205999132796
dbq	dbq	47	36	13	23	6	6	6	5	afas	Biu-Mandara			24000	4.38021124171161
deu	deu	39	23	6	17	16	16	8	0	ieur	Germanic	52:0	10:00	75300000	7.8767949762007
dga	dga	54	24	8	16	27	27	9	3	ncon	Gur	10:30	-02:30	7e+05	5.84509804001426
dgi	dgi	41	29	9	20	9	9	9	3	ncon		11:00	-3:0	388000	5.58883172559421
dic	dic	57	27	8	19	27	27	9	3	ncon	Kru	05:45	-05:25	93800	4.97220283837906
dih	dih	34	25	10	15	9	9	5	0	hoka	Yuman	32:0	-116:0	220	2.34242268082221
dip	dip	32	19	9	10	13	13	13	0	nsah	Nilotic	08:30	28:0	320000	5.50514997831991
diq	diq	44	30	8	22	14	8	8	0	ieur	Iranian			1e+06	6
dje	dje	40	20	8	12	16	16	5	4	nsah	Songhay	15:25	02:00	2350000	6.37106786227174
dni	dni	24	12	7	5	12	7	7	0	trng	Dani	-04:10	139:0	20000	4.30102999566398
dob	dob	24	19	6	13	5	5	5	0	anes		-09:45	150:45	10000	4
doc	doc	27	20	10	10	7	7	7	0	taik	Kam-Tai	26:0	108:30	463000	5.66558099101795
dop	dop	37	17	8	9	20	20	10	0	ncon		09:45	01:25	50000	4.69897000433602
dow	dow	34	22	12	10	12	12	7	0	ncon	Adamawa	08:40	13:10	18000	4.25527250510331
dru	dru	27	23	8	15	4	4	4	0	anes	Tsouic	22:50	120:50	10500	4.02118929906994
dta	dta	29	22	9	13	7	7	7	0	altc	Mongolic	48:0	124:0	96100	4.98272338766855
dts	dts	28	16	10	6	12	12	7	0	ncon	Dogon			50000	4.69897000433602
dua	dua	33	21	11	10	7	7	7	5	ncon	Bantoid	04:10	09:25	87700	4.94299959336604
dug	dug	49	42	16	26	5	5	5	2	ncon		-4:0	39:15	247000	5.39269695325967
duj	duj	23	20	13	7	3	3	3	0	aust	Pama-Nyungan	-12:45	136:0	3650	3.56229286445647
duo	duo	20	15	6	9	5	5	5	0	anes	Northern Philippines	17:50	122:10	1200	3.07918124604762
dyo	dyo	29	19	8	11	10	10	10	0	ncon	Northern Atlantic	13:00	-16:0	340000	5.53147891704226
dyu	dyu	39	23	8	15	14	14	7	2	ncon	Western Mande	10:15	-5:0	1e+06	6
dzg	dzg	32	21	8	13	11	11	11	0	nsah	Western Saharan	17:00	18:00	331000	5.51982799377572
efi	efi	20	13	6	7	7	7	7	0	ncon	Cross River	04:55	08:30	4e+05	5.60205999132796
ega	ega	39	27	7	20	9	9	9	3	ncon	Kwa			2500	3.39794000867204
ego	ego	42	30	9	21	7	7	7	5	ncon		08:40	08:35	140000	5.14612803567824
ekg	ekg	15	10	4	6	5	5	5	0	trng	Wissel Lakes-Kemandoga	-03:45	136:0	1e+05	5
ekm	ekm	30	19	7	12	7	7	7	4	ncon		04:30	11:10	6400	3.80617997398389
